STATE,YEAR,DISTRICT,MUD
"UTTAR PRADESH",2001,ALLAHABAD,167
"UTTAR PRADESH",2002,SITAPUR,167
"UTTAR PRADESH",2006,LUCKNOW,167
"UTTAR PRADESH",2001,LUCKNOW,166
"ANDHRA PRADESH",2002,ANANTAPUR,166
"UTTAR PRADESH",2007,ALIGARH,166
"UTTAR PRADESH",2008,MEERUT,166
"ANDHRA PRADESH",2005,GUNTUR,165
"ANDHRA PRADESH",2005,KARIMNAGAR,164
"UTTAR PRADESH",2010,MEERUT,164
MAHARASHTRA,2012,"PUNE RURAL",163
"ANDHRA PRADESH",2004,GUNTUR,163
BIHAR,2004,GAYA,163
"ANDHRA PRADESH",2001,KARIMNAGAR,162
"UTTAR PRADESH",2001,SITAPUR,162
"UTTAR PRADESH",2003,SHAHJAHANPUR,162
"UTTAR PRADESH",2011,BULANDSHAHAR,162
"UTTAR PRADESH",2011,GHAZIABAD,162
"ANDHRA PRADESH",2002,KARIMNAGAR,160
BIHAR,2004,SARAN,160
"UTTAR PRADESH",2007,LUCKNOW,159
"ANDHRA PRADESH",2008,GUNTUR,159
"UTTAR PRADESH",2011,"KANPUR NAGAR",159
"ANDHRA PRADESH",2009,MAHABOOBNAGAR,158
"ANDHRA PRADESH",2001,WARANGAL,158
"UTTAR PRADESH",2002,AGRA,158
BIHAR,2005,BHOJPUR,158
BIHAR,2005,GAYA,158
BIHAR,2006,GAYA,158
"WEST BENGAL",2007,"24 PARGANAS SOUTH",158
JHARKHAND,2008,GUMLA,158
"ANDHRA PRADESH",2001,MAHABOOBNAGAR,157
BIHAR,2003,ROHTAS,157
"ANDHRA PRADESH",2007,GUNTUR,157
BIHAR,2007,GAYA,157
"UTTAR PRADESH",2003,ALIGARH,156
"UTTAR PRADESH",2003,MORADABAD,156
"ANDHRA PRADESH",2010,KURNOOL,156
"UTTAR PRADESH",2011,ALLAHABAD,156
BIHAR,2009,GAYA,155
BIHAR,2011,GAYA,155
"ANDHRA PRADESH",2003,CYBERABAD,155
"ANDHRA PRADESH",2006,GUNTUR,155
"WEST BENGAL",2006,"24 PARGANAS NORTH",154
"ANDHRA PRADESH",2008,ANANTAPUR,154
BIHAR,2011,MUZAFFARPUR,154
"ANDHRA PRADESH",2009,"HYDERABAD CITY",153
JHARKHAND,2010,GUMLA,153
"ANDHRA PRADESH",2011,KURNOOL,153
BIHAR,2012,GAYA,153
BIHAR,2001,MUZAFFARPUR,153
"UTTAR PRADESH",2001,AGRA,153
KARNATAKA,2002,"BANGALORE RURAL",153
"ANDHRA PRADESH",2003,KARIMNAGAR,153
"ANDHRA PRADESH",2008,NIZAMABAD,153
"WEST BENGAL",2001,JALPAIGURI,152
"ANDHRA PRADESH",2004,ANANTAPUR,152
KARNATAKA,2004,"BANGALORE RURAL",152
"UTTAR PRADESH",2004,SITAPUR,152
MAHARASHTRA,2006,"THANE RURAL",152
"UTTAR PRADESH",2012,AGRA,152
JHARKHAND,2011,RANCHI,151
"UTTAR PRADESH",2012,"KANPUR NAGAR",151
"ANDHRA PRADESH",2001,ANANTAPUR,151
"UTTAR PRADESH",2006,MORADABAD,151
"ANDHRA PRADESH",2007,NIZAMABAD,151
"ANDHRA PRADESH",2005,CYBERABAD,150
BIHAR,2005,NALANDA,150
"UTTAR PRADESH",2005,"KANPUR NAGAR",150
"UTTAR PRADESH",2007,GHAZIABAD,150
"ANDHRA PRADESH",2009,GUNTUR,150
BIHAR,2009,MUZAFFARPUR,150
"UTTAR PRADESH",2010,"KANPUR NAGAR",150
"ANDHRA PRADESH",2011,KARIMNAGAR,150
MAHARASHTRA,2003,"THANE RURAL",149
"UTTAR PRADESH",2004,"KANPUR NAGAR",149
"ANDHRA PRADESH",2007,ANANTAPUR,149
"UTTAR PRADESH",2004,ETAH,148
"UTTAR PRADESH",2007,"KANPUR NAGAR",148
BIHAR,2010,MUZAFFARPUR,148
MAHARASHTRA,2011,"PUNE RURAL",148
MAHARASHTRA,2008,"THANE RURAL",147
MAHARASHTRA,2011,"THANE RURAL",147
"UTTAR PRADESH",2001,UNNAO,147
BIHAR,2002,BHOJPUR,147
"ANDHRA PRADESH",2006,KARIMNAGAR,147
"UTTAR PRADESH",2002,ALLAHABAD,146
"UTTAR PRADESH",2006,GHAZIABAD,146
"UTTAR PRADESH",2007,BULANDSHAHAR,146
MAHARASHTRA,2008,"PUNE RURAL",146
MAHARASHTRA,2012,"THANE RURAL",146
"UTTAR PRADESH",2012,GHAZIABAD,146
"WEST BENGAL",2012,NADIA,146
KARNATAKA,2009,GULBARGA,145
"WEST BENGAL",2011,MURSHIDABAD,145
JHARKHAND,2012,RANCHI,145
BIHAR,2003,BEGUSARAI,145
"ANDHRA PRADESH",2004,CYBERABAD,145
"UTTAR PRADESH",2005,ETAH,145
"TAMIL NADU",2007,CHENNAI,145
"JAMMU & KASHMIR",2001,BARAMULLA,144
"UTTAR PRADESH",2002,KHIRI,144
"UTTAR PRADESH",2003,BULANDSHAHAR,144
MAHARASHTRA,2004,"THANE RURAL",144
"UTTAR PRADESH",2004,ALLAHABAD,144
"UTTAR PRADESH",2005,ALLAHABAD,144
"UTTAR PRADESH",2006,"KANPUR NAGAR",144
JHARKHAND,2012,CHAIBASA,144
"UTTAR PRADESH",2008,ALLAHABAD,143
"UTTAR PRADESH",2008,GHAZIABAD,143
"UTTAR PRADESH",2009,ALIGARH,143
"UTTAR PRADESH",2009,"KANPUR NAGAR",143
"ANDHRA PRADESH",2002,GUNTUR,143
BIHAR,2006,NALANDA,143
ASSAM,2007,TINSUKIA,143
BIHAR,2007,MUZAFFARPUR,143
"UTTAR PRADESH",2007,ALLAHABAD,143
"ANDHRA PRADESH",2003,NALGONDA,142
"UTTAR PRADESH",2005,SITAPUR,142
KARNATAKA,2012,BELGAUM,142
MAHARASHTRA,2010,"PUNE RURAL",141
"ANDHRA PRADESH",2011,MEDAK,141
"UTTAR PRADESH",2012,LUCKNOW,141
"JAMMU & KASHMIR",2001,KUPWARA,141
MAHARASHTRA,2002,"PUNE RURAL",141
"UTTAR PRADESH",2007,ETAH,141
MAHARASHTRA,2001,"THANE RURAL",140
"WEST BENGAL",2002,"24 PARGANAS SOUTH",140
"ANDHRA PRADESH",2005,KURNOOL,140
JHARKHAND,2005,GUMLA,140
MAHARASHTRA,2005,"THANE RURAL",140
"ANDHRA PRADESH",2008,MEDAK,140
"ANDHRA PRADESH",2009,ANANTAPUR,140
"UTTAR PRADESH",2012,BULANDSHAHAR,140
"WEST BENGAL",2012,"24 PARGANAS NORTH",140
"UTTAR PRADESH",2008,ALIGARH,139
"ANDHRA PRADESH",2010,KARIMNAGAR,139
BIHAR,2010,GAYA,139
"MADHYA PRADESH",2004,JHABUA,139
"UTTAR PRADESH",2005,SHAHJAHANPUR,139
CHHATTISGARH,2006,BIZAPUR,139
BIHAR,2002,BEGUSARAI,138
"UTTAR PRADESH",2002,FIROZABAD,138
"ANDHRA PRADESH",2005,NALGONDA,138
"UTTAR PRADESH",2006,ETAH,138
"WEST BENGAL",2006,"24 PARGANAS SOUTH",138
"UTTAR PRADESH",2007,BAREILLY,138
BIHAR,2008,BHOJPUR,138
BIHAR,2008,MUZAFFARPUR,138
MAHARASHTRA,2009,"THANE RURAL",138
MAHARASHTRA,2008,"PUNE COMMR.",137
"ANDHRA PRADESH",2010,ANANTAPUR,137
BIHAR,2001,SARAN,137
KARNATAKA,2001,"BANGALORE RURAL",137
"UTTAR PRADESH",2003,ETAH,137
"UTTAR PRADESH",2004,SHAHJAHANPUR,137
JHARKHAND,2007,GUMLA,137
JHARKHAND,2001,GUMLA,136
"UTTAR PRADESH",2001,MAINPURI,136
BIHAR,2003,SAMASTIPUR,136
TRIPURA,2003,WEST,136
BIHAR,2008,GAYA,136
"UTTAR PRADESH",2009,BAREILLY,136
BIHAR,2011,MOTIHARI,136
JHARKHAND,2011,CHAIBASA,136
KARNATAKA,2011,BELGAUM,136
"WEST BENGAL",2011,NADIA,136
"WEST BENGAL",2009,NADIA,135
MAHARASHTRA,2010,"THANE RURAL",135
"ANDHRA PRADESH",2011,NIZAMABAD,135
"MADHYA PRADESH",2011,INDORE,135
BIHAR,2001,BHOJPUR,135
"UTTAR PRADESH",2001,FIROZABAD,135
"UTTAR PRADESH",2002,HARDOI,135
"DELHI UT",2002,"NORTH WEST",135
"ANDHRA PRADESH",2007,NALGONDA,135
"DELHI UT",2001,"NORTH WEST",134
JHARKHAND,2002,CHAIBASA,134
JHARKHAND,2004,CHAIBASA,134
"ANDHRA PRADESH",2006,KHAMMAM,134
"ANDHRA PRADESH",2006,MEDAK,134
BIHAR,2006,MUZAFFARPUR,134
BIHAR,2006,SARAN,134
"ANDHRA PRADESH",2008,KARIMNAGAR,134
MAHARASHTRA,2008,AHMEDNAGAR,134
"WEST BENGAL",2008,MURSHIDABAD,134
"ANDHRA PRADESH",2010,"HYDERABAD CITY",134
"WEST BENGAL",2010,BURDWAN,134
"UTTAR PRADESH",2009,MORADABAD,133
"UTTAR PRADESH",2010,ALLAHABAD,133
"ANDHRA PRADESH",2001,KURNOOL,133
MAHARASHTRA,2001,"THANE COMMR.",133
"WEST BENGAL",2001,BURDWAN,133
"MADHYA PRADESH",2002,JHABUA,133
BIHAR,2004,BHAGALPUR,133
"ANDHRA PRADESH",2005,MEDAK,133
"UTTAR PRADESH",2001,FATEHPUR,132
BIHAR,2002,ROHTAS,132
MAHARASHTRA,2004,"PUNE RURAL",132
"ANDHRA PRADESH",2006,KURNOOL,132
"ANDHRA PRADESH",2006,NALGONDA,132
"UTTAR PRADESH",2006,ALLAHABAD,132
"WEST BENGAL",2007,MURSHIDABAD,132
"MADHYA PRADESH",2009,INDORE,132
BIHAR,2010,ROHTAS,132
BIHAR,2012,ROHTAS,132
"WEST BENGAL",2012,HOOGHLY,132
"ANDHRA PRADESH",2002,WARANGAL,131
JHARKHAND,2003,GUMLA,131
BIHAR,2005,MUZAFFARPUR,131
"UTTAR PRADESH",2005,KHIRI,131
"WEST BENGAL",2005,"24 PARGANAS SOUTH",131
"TAMIL NADU",2006,CHENNAI,131
"WEST BENGAL",2001,MURSHIDABAD,130
BIHAR,2002,MUZAFFARPUR,130
BIHAR,2004,ROHTAS,130
"WEST BENGAL",2004,"24 PARGANAS SOUTH",130
MAHARASHTRA,2007,"PUNE RURAL",130
"UTTAR PRADESH",2007,MORADABAD,130
"UTTAR PRADESH",2008,BAREILLY,130
"UTTAR PRADESH",2008,LUCKNOW,130
"UTTAR PRADESH",2010,ALIGARH,130
"ANDHRA PRADESH",2012,KHAMMAM,130
"WEST BENGAL",2009,BURDWAN,129
MAHARASHTRA,2010,"PUNE COMMR.",129
JHARKHAND,2003,CHAIBASA,129
"UTTAR PRADESH",2003,SITAPUR,129
"DELHI UT",2004,"NORTH WEST",129
"MADHYA PRADESH",2005,JHABUA,129
JHARKHAND,2006,CHAIBASA,129
"ANDHRA PRADESH",2007,CHITTOOR,129
BIHAR,2001,BHAGALPUR,128
MAHARASHTRA,2002,"THANE COMMR.",128
"ANDHRA PRADESH",2003,WARANGAL,128
KARNATAKA,2003,"BANGALORE RURAL",128
BIHAR,2004,PURNEA,128
BIHAR,2005,BEGUSARAI,128
"DELHI UT",2005,NORTH-WEST,128
"DELHI UT",2006,NORTH-WEST,128
"ANDHRA PRADESH",2007,MEDAK,128
MAHARASHTRA,2007,"THANE RURAL",128
BIHAR,2010,VAISHALI,128
"ANDHRA PRADESH",2012,KARIMNAGAR,128
BIHAR,2012,SARAN,128
BIHAR,2009,MOTIHARI,127
"UTTAR PRADESH",2009,AGRA,127
MAHARASHTRA,2011,"THANE COMMR.",127
BIHAR,2001,ROHTAS,127
MAHARASHTRA,2003,"PUNE RURAL",127
"ANDHRA PRADESH",2004,MEDAK,127
"UTTAR PRADESH",2004,MAINPURI,127
BIHAR,2006,BHOJPUR,127
"UTTAR PRADESH",2006,FIROZABAD,127
JHARKHAND,2007,CHAIBASA,127
JHARKHAND,2008,CHAIBASA,127
"UTTAR PRADESH",2002,UNNAO,126
"UTTAR PRADESH",2003,AGRA,126
"ANDHRA PRADESH",2006,CHITTOOR,126
JHARKHAND,2006,GUMLA,126
MAHARASHTRA,2007,"PUNE COMMR.",126
"UTTAR PRADESH",2007,SHAHJAHANPUR,126
"UTTAR PRADESH",2008,MORADABAD,126
"WEST BENGAL",2008,JALPAIGURI,126
BIHAR,2010,BEGUSARAI,126
BIHAR,2011,ROHTAS,126
JHARKHAND,2011,KHUNTI,126
"UTTAR PRADESH",2011,MUZAFFARNAGAR,126
"UTTAR PRADESH",2012,MUZAFFARNAGAR,126
"MADHYA PRADESH",2008,INDORE,125
MAHARASHTRA,2009,"PUNE RURAL",125
TRIPURA,2001,WEST,125
"UTTAR PRADESH",2001,MATHURA,125
"ANDHRA PRADESH",2003,KURNOOL,125
BIHAR,2003,BHOJPUR,125
"WEST BENGAL",2003,"24 PARGANAS SOUTH",125
ASSAM,2004,DIBRUGARH,125
BIHAR,2004,SIWAN,125
"UTTAR PRADESH",2004,AGRA,125
BIHAR,2005,SARAN,125
"ANDHRA PRADESH",2006,"HYDERABAD CITY",125
"ANDHRA PRADESH",2007,KHAMMAM,125
BIHAR,2001,BEGUSARAI,124
"MADHYA PRADESH",2001,JHABUA,124
"UTTAR PRADESH",2001,BIJNOR,124
"WEST BENGAL",2001,NADIA,124
"ANDHRA PRADESH",2002,KURNOOL,124
"ANDHRA PRADESH",2003,"HYDERABAD CITY",124
"ANDHRA PRADESH",2003,MEDAK,124
MAHARASHTRA,2006,"PUNE RURAL",124
"UTTAR PRADESH",2006,SITAPUR,124
"ANDHRA PRADESH",2007,KURNOOL,124
KARNATAKA,2008,BELGAUM,124
"ANDHRA PRADESH",2009,NALGONDA,124
KARNATAKA,2010,BELGAUM,124
"WEST BENGAL",2010,HOOGHLY,124
BIHAR,2012,MOTIHARI,124
BIHAR,2011,SARAN,123
"MADHYA PRADESH",2012,INDORE,123
"UTTAR PRADESH",2002,MAINPURI,123
"UTTAR PRADESH",2002,MATHURA,123
"WEST BENGAL",2002,MURSHIDABAD,123
"ANDHRA PRADESH",2004,KARIMNAGAR,123
"UTTAR PRADESH",2004,FIROZABAD,123
"UTTAR PRADESH",2004,UNNAO,123
MAHARASHTRA,2005,"PUNE RURAL",123
"TAMIL NADU",2005,CHENNAI,123
"UTTAR PRADESH",2006,AGRA,123
"ANDHRA PRADESH",2007,KARIMNAGAR,123
"UTTAR PRADESH",2007,AGRA,123
"UTTAR PRADESH",2007,FIROZABAD,123
"ANDHRA PRADESH",2008,CHITTOOR,123
"ANDHRA PRADESH",2008,KHAMMAM,123
"ANDHRA PRADESH",2001,NALGONDA,122
MAHARASHTRA,2002,"THANE RURAL",122
"UTTAR PRADESH",2005,FIROZABAD,122
"WEST BENGAL",2007,BURDWAN,122
"WEST BENGAL",2007,JALPAIGURI,122
"ANDHRA PRADESH",2008,"HYDERABAD CITY",122
MAHARASHTRA,2009,"THANE COMMR.",122
MAHARASHTRA,2010,AHMEDNAGAR,122
BIHAR,2012,VAISHALI,122
"UTTAR PRADESH",2008,FIROZABAD,121
"WEST BENGAL",2010,NADIA,121
"JAMMU & KASHMIR",2002,BARAMULLA,121
"ANDHRA PRADESH",2004,"HYDERABAD CITY",121
BIHAR,2005,SAMASTIPUR,121
"ANDHRA PRADESH",2007,"HYDERABAD CITY",121
"ANDHRA PRADESH",2008,NALGONDA,121
"ANDHRA PRADESH",2008,WARANGAL,121
KARNATAKA,2001,BELGAUM,120
"UTTAR PRADESH",2001,AZAMGARH,120
"UTTAR PRADESH",2001,FATEHGARH,120
"WEST BENGAL",2001,MIDNAPUR,120
BIHAR,2003,MUZAFFARPUR,120
BIHAR,2004,MOTIHARI,120
BIHAR,2007,VAISHALI,120
MAHARASHTRA,2007,"THANE COMMR.",120
BIHAR,2008,MOTIHARI,120
BIHAR,2008,NALANDA,120
"ANDHRA PRADESH",2009,MEDAK,120
"ANDHRA PRADESH",2011,CUDDAPAH,120
BIHAR,2012,BEGUSARAI,120
MAHARASHTRA,2009,"PUNE COMMR.",119
BIHAR,2010,SAMASTIPUR,119
JHARKHAND,2010,CHAIBASA,119
"UTTAR PRADESH",2010,BULANDSHAHAR,119
"UTTAR PRADESH",2011,LUCKNOW,119
MAHARASHTRA,2001,"PUNE RURAL",119
BIHAR,2002,SAMASTIPUR,119
"MADHYA PRADESH",2003,JHABUA,119
"UTTAR PRADESH",2003,ALLAHABAD,119
BIHAR,2006,BHAGALPUR,119
BIHAR,2006,MOTIHARI,119
BIHAR,2008,SARAN,119
BIHAR,2003,VAISHALI,118
"ANDHRA PRADESH",2004,NALGONDA,118
BIHAR,2004,SAMASTIPUR,118
"WEST BENGAL",2004,JALPAIGURI,118
"ANDHRA PRADESH",2009,KHAMMAM,118
JHARKHAND,2009,CHAIBASA,118
"UTTAR PRADESH",2009,BULANDSHAHAR,118
"ANDHRA PRADESH",2010,NALGONDA,118
"ANDHRA PRADESH",2012,CUDDAPAH,118
"WEST BENGAL",2012,MALDA,118
"UTTAR PRADESH",2009,FIROZABAD,117
BIHAR,2010,NALANDA,117
"UTTAR PRADESH",2010,AGRA,117
"WEST BENGAL",2010,JALPAIGURI,117
"ANDHRA PRADESH",2011,"HYDERABAD CITY",117
"WEST BENGAL",2012,JALPAIGURI,117
"ANDHRA PRADESH",2002,"HYDERABAD CITY",117
BIHAR,2002,SIWAN,117
ASSAM,2004,TINSUKIA,117
"ANDHRA PRADESH",2005,WARANGAL,117
"MADHYA PRADESH",2006,JHABUA,117
BIHAR,2001,SIWAN,116
"WEST BENGAL",2003,MURSHIDABAD,116
"UTTAR PRADESH",2004,HARDOI,116
KARNATAKA,2005,BELGAUM,116
"ANDHRA PRADESH",2006,WARANGAL,116
"ANDHRA PRADESH",2008,KURNOOL,116
"UTTAR PRADESH",2011,BAREILLY,116
"UTTAR PRADESH",2010,BAREILLY,115
"WEST BENGAL",2010,PURULIA,115
"UTTAR PRADESH",2012,ALLAHABAD,115
"UTTAR PRADESH",2001,PILIBHIT,115
ASSAM,2002,TINSUKIA,115
BIHAR,2003,SARAN,115
MAHARASHTRA,2004,"THANE COMMR.",115
JHARKHAND,2005,CHAIBASA,115
KARNATAKA,2005,GULBARGA,115
"UTTAR PRADESH",2005,AGRA,115
"WEST BENGAL",2005,MURSHIDABAD,115
"UTTAR PRADESH",2006,SHAHJAHANPUR,115
BIHAR,2001,MOTIHARI,114
"ANDHRA PRADESH",2008,CUDDAPAH,114
ASSAM,2008,TINSUKIA,114
"UTTAR PRADESH",2008,SHAHJAHANPUR,114
BIHAR,2009,NALANDA,114
"UTTAR PRADESH",2009,LUCKNOW,114
"UTTAR PRADESH",2010,LUCKNOW,114
